University_Roll_No,College_Name,Batch,Semester,Subject_1,Subject_2,Subject_3,Subject_4,Subject_5,Subject_6,Semester_Avg,Overall_Avg
110005,College_1,1,2,70,46,54,52,40,50,52.0,68.20833333333333
110005,College_1,1,3,92,52,42,90,81,56,68.83333333333333,68.20833333333333
110005,College_1,1,4,59,87,86,90,58,85,77.5,68.20833333333333
110005,College_1,1,5,61,48,44,80,60,51,57.333333333333336,68.20833333333333
110005,College_1,1,6,65,100,80,86,51,81,77.16666666666667,68.20833333333333
110005,College_1,1,7,98,67,47,40,41,84,62.833333333333336,68.20833333333333
110005,College_1,1,8,79,100,100,48,63,75,77.5,68.20833333333333
110006,College_1,1,1,96,77,42,88,61,97,76.83333333333333,70.375
110006,College_1,1,2,71,52,45,75,79,76,66.33333333333333,70.375
110006,College_1,1,3,79,48,50,78,91,84,71.66666666666667,70.375
110006,College_1,1,4,50,86,59,78,83,62,69.66666666666667,70.375
110006,College_1,1,5,84,74,46,82,82,49,69.5,70.375
110006,College_1,1,6,61,98,48,41,43,97,64.66666666666667,70.375
110006,College_1,1,7,100,88,60,62,79,52,73.5,70.375
110006,College_1,1,8,90,49,85,55,56,90,70.83333333333333,70.375
110007,College_1,1,1,98,53,69,77,72,92,76.83333333333333,69.22916666666667
110007,College_1,1,2,67,67,87,76,55,51,67.16666666666667,69.22916666666667
110007,College_1,1,3,42,64,61,67,84,91,68.16666666666667,69.22916666666667
110007,College_1,1,4,55,69,89,52,57,97,69.83333333333333,69.22916666666667
110007,College_1,1,5,45,78,57,51,74,41,57.666666666666664,69.22916666666667
110007,College_1,1,6,92,78,54,69,49,93,72.5,69.22916666666667
110007,College_1,1,7,96,68,95,41,45,80,70.83333333333333,69.22916666666667
110007,College_1,1,8,51,86,40,87,78,83,70.83333333333333,69.22916666666667
110008,College_1,1,1,98,59,72,76,50,69,70.66666666666667,72.0
110008,College_1,1,2,89,91,81,94,90,63,84.66666666666667,72.0
110008,College_1,1,3,45,69,51,78,74,95,68.66666666666667,72.0
110008,College_1,1,4,66,87,58,53,70,48,63.666666666666664,72.0
110008,College_1,1,5,55,63,81,88,85,98,78.33333333333333,72.0
110008,College_1,1,6,45,61,54,46,97,68,61.833333333333336,72.0
110008,College_1,1,7,98,64,91,44,56,46,66.5,72.0
110008,College_1,1,8,74,96,81,58,96,85,81.66666666666667,72.0
110009,College_1,1,1,77,43,98,61,77,96,75.33333333333333,72.72916666666667
110009,College_1,1,2,77,95,94,75,61,76,79.66666666666667,72.72916666666667
110009,College_1,1,3,94,53,41,95,87,65,72.5,72.72916666666667
110009,College_1,1,4,76,70,71,85,86,93,80.16666666666667,72.72916666666667
110009,College_1,1,5,72,83,45,76,68,93,72.83333333333333,72.72916666666667
110009,College_1,1,6,87,42,56,70,66,62,63.833333333333336,72.72916666666667
110009,College_1,1,7,52,83,63,54,69,69,65.0,72.72916666666667
110009,College_1,1,8,81,78,92,69,66,49,72.5,72.72916666666667
110010,College_1,1,1,52,69,61,62,53,57,59.0,70.64583333333333
110010,College_1,1,2,42,52,95,48,89,78,67.33333333333333,70.64583333333333
110010,College_1,1,3,42,85,67,45,84,80,67.16666666666667,70.64583333333333
110010,College_1,1,4,95,61,67,65,56,80,70.66666666666667,70.64583333333333
110010,College_1,1,5,48,83,59,99,85,84,76.33333333333333,70.64583333333333
110010,College_1,1,6,83,90,79,97,78,98,87.5,70.64583333333333
110010,College_1,1,7,56,55,89,90,71,40,66.83333333333333,70.64583333333333
110010,College_1,1,8,85,61,73,45,69,89,70.33333333333333,70.64583333333333
110011,College_1,1,1,58,53,64,84,64,85,68.0,73.75
110011,College_1,1,2,45,88,74,93,90,81,78.5,73.75
110011,College_1,1,3,46,98,70,95,78,94,80.16666666666667,73.75
110011,College_1,1,4,92,61,46,94,70,67,71.66666666666667,73.75
110011,College_1,1,5,88,81,97,62,74,73,79.16666666666667,73.75
110011,College_1,1,6,65,63,95,90,48,92,75.5,73.75
110011,College_1,1,7,72,41,90,66,43,75,64.5,73.75
110011,College_1,1,8,56,99,70,73,48,89,72.5,73.75
110012,College_1,1,1,76,50,65,76,66,95,71.33333333333333,72.27083333333333
110012,College_1,1,2,53,55,52,40,93,89,63.666666666666664,72.27083333333333
110012,College_1,1,3,99,67,48,80,75,54,70.5,72.27083333333333
110012,College_1,1,4,80,52,41,74,77,81,67.5,72.27083333333333
110012,College_1,1,5,99,99,69,92,45,81,80.83333333333333,72.27083333333333
110012,College_1,1,6,52,94,70,62,51,99,71.33333333333333,72.27083333333333
110012,College_1,1,7,58,74,73,60,78,82,70.83333333333333,72.27083333333333
110012,College_1,1,8,73,76,83,87,91,83,82.16666666666667,72.27083333333333
110013,College_1,1,1,44,53,79,68,95,65,67.33333333333333,74.70833333333333
110013,College_1,1,2,75,61,81,40,66,45,61.333333333333336,74.70833333333333
110013,College_1,1,3,98,71,88,57,71,93,79.66666666666667,74.70833333333333
110013,College_1,1,4,90,79,75,99,81,67,81.83333333333333,74.70833333333333
110013,College_1,1,5,78,81,51,68,76,53,67.83333333333333,74.70833333333333
110013,College_1,1,6,66,96,79,75,66,99,80.16666666666667,74.70833333333333
110013,College_1,1,7,81,63,85,84,68,86,77.83333333333333,74.70833333333333
110013,College_1,1,8,67,89,87,68,88,91,81.66666666666667,74.70833333333333
110014,College_1,1,1,60,98,65,86,48,91,74.66666666666667,73.27083333333333
110014,College_1,1,2,97,93,94,49,82,64,79.83333333333333,73.27083333333333
110014,College_1,1,3,72,75,87,55,96,92,79.5,73.27083333333333
110014,College_1,1,4,44,100,41,43,99,50,62.833333333333336,73.27083333333333
110014,College_1,1,5,41,79,52,71,97,88,71.33333333333333,73.27083333333333
110014,College_1,1,6,77,52,84,71,93,83,76.66666666666667,73.27083333333333
110014,College_1,1,7,65,94,97,71,88,60,79.16666666666667,73.27083333333333
110014,College_1,1,8,90,44,45,48,64,82,62.166666666666664,73.27083333333333
110015,College_1,1,1,74,56,63,53,63,90,66.5,68.125
110015,College_1,1,2,47,49,62,80,74,86,66.33333333333333,68.125
110015,College_1,1,3,66,44,71,87,53,84,67.5,68.125
110015,College_1,1,4,64,46,42,61,61,84,59.666666666666664,68.125
110015,College_1,1,5,89,85,63,85,64,78,77.33333333333333,68.125
110015,College_1,1,6,80,56,76,54,69,72,67.83333333333333,68.125
110015,College_1,1,7,49,87,40,58,40,93,61.166666666666664,68.125
110015,College_1,1,8,98,88,69,79,84,54,78.66666666666667,68.125
110016,College_1,1,1,78,98,78,51,73,93,78.5,69.8125
110016,College_1,1,2,56,99,54,78,63,84,72.33333333333333,69.8125
110016,College_1,1,3,80,81,68,43,63,56,65.16666666666667,69.8125
110016,College_1,1,4,56,98,82,88,78,40,73.66666666666667,69.8125
110016,College_1,1,5,71,65,76,75,99,82,78.0,69.8125
110016,College_1,1,6,57,70,40,43,62,83,59.166666666666664,69.8125
110016,College_1,1,7,69,52,40,95,88,58,67.0,69.8125
110016,College_1,1,8,50,46,86,54,85,67,64.66666666666667,69.8125
110017,College_1,1,1,69,62,94,97,83,64,78.16666666666667,69.14583333333333
110017,College_1,1,2,53,41,94,71,88,51,66.33333333333333,69.14583333333333
110017,College_1,1,3,93,56,60,99,48,65,70.16666666666667,69.14583333333333
110017,College_1,1,4,92,53,83,67,46,40,63.5,69.14583333333333
110017,College_1,1,5,84,95,66,49,45,90,71.5,69.14583333333333
110017,College_1,1,6,89,67,82,59,64,64,70.83333333333333,69.14583333333333
110017,College_1,1,7,52,57,65,83,56,49,60.333333333333336,69.14583333333333
110017,College_1,1,8,80,64,83,60,95,52,72.33333333333333,69.14583333333333
110018,College_1,1,1,51,82,66,40,43,74,59.333333333333336,71.27083333333333
110018,College_1,1,2,69,92,80,86,79,47,75.5,71.27083333333333
110018,College_1,1,3,98,91,66,67,83,64,78.16666666666667,71.27083333333333
110018,College_1,1,4,88,91,47,56,81,48,68.5,71.27083333333333
110018,College_1,1,5,77,53,77,90,64,74,72.5,71.27083333333333
110018,College_1,1,6,87,58,90,81,97,84,82.83333333333333,71.27083333333333
110018,College_1,1,7,61,55,70,76,49,72,63.833333333333336,71.27083333333333
110018,College_1,1,8,49,87,80,41,69,91,69.5,71.27083333333333
110019,College_1,1,1,99,42,62,61,58,94,69.33333333333333,70.60416666666667
110019,College_1,1,2,91,67,84,89,60,43,72.33333333333333,70.60416666666667
110019,College_1,1,3,66,94,61,67,70,67,70.83333333333333,70.60416666666667
110019,College_1,1,4,93,66,78,51,43,76,67.83333333333333,70.60416666666667
110019,College_1,1,5,45,66,57,85,86,64,67.16666666666667,70.60416666666667
110019,College_1,1,6,69,80,71,47,100,41,68.0,70.60416666666667
110019,College_1,1,7,54,66,97,69,67,99,75.33333333333333,70.60416666666667
110019,College_1,1,8,57,98,74,48,78,89,74.0,70.60416666666667
110020,College_1,1,1,45,70,78,83,83,55,69.0,69.91666666666667
110020,College_1,1,2,49,84,86,42,81,81,70.5,69.91666666666667
110020,College_1,1,3,78,68,61,84,57,73,70.16666666666667,69.91666666666667
110020,College_1,1,4,85,83,66,86,70,55,74.16666666666667,69.91666666666667
110020,College_1,1,5,69,41,96,66,46,90,68.0,69.91666666666667
110020,College_1,1,6,63,48,47,60,99,42,59.833333333333336,69.91666666666667
110020,College_1,1,7,82,92,100,85,61,45,77.5,69.91666666666667
110020,College_1,1,8,86,48,43,76,89,79,70.16666666666667,69.91666666666667
110021,College_1,1,1,66,69,42,47,85,85,65.66666666666667,70.875
110021,College_1,1,2,51,77,74,87,82,44,69.16666666666667,70.875
110021,College_1,1,3,80,82,69,77,44,87,73.16666666666667,70.875
110021,College_1,1,4,98,48,66,79,93,98,80.33333333333333,70.875
110021,College_1,1,5,88,78,78,50,84,65,73.83333333333333,70.875
110021,College_1,1,6,48,62,41,53,99,64,61.166666666666664,70.875
110021,College_1,1,7,61,89,89,72,60,93,77.33333333333333,70.875
110021,College_1,1,8,78,78,64,48,77,53,66.33333333333333,70.875
110022,College_1,1,1,83,76,94,95,53,90,81.83333333333333,68.58333333333333
110022,College_1,1,2,43,93,76,55,46,46,59.833333333333336,68.58333333333333
110022,College_1,1,3,62,47,61,52,65,76,60.5,68.58333333333333
110022,College_1,1,4,71,78,68,47,88,96,74.66666666666667,68.58333333333333
110022,College_1,1,5,60,56,71,42,58,93,63.333333333333336,68.58333333333333
110022,College_1,1,6,64,63,72,94,86,44,70.5,68.58333333333333
110022,College_1,1,7,79,52,55,47,87,85,67.5,68.58333333333333
110022,College_1,1,8,92,45,49,81,89,67,70.5,68.58333333333333
110023,College_1,1,1,47,71,88,76,83,48,68.83333333333333,66.875
110023,College_1,1,2,90,51,43,43,49,40,52.666666666666664,66.875
110023,College_1,1,3,89,94,58,55,49,75,70.0,66.875
110023,College_1,1,4,74,95,71,76,77,66,76.5,66.875
110023,College_1,1,5,49,53,48,45,49,92,56.0,66.875
110023,College_1,1,6,44,45,44,71,80,61,57.5,66.875
110023,College_1,1,7,84,100,49,52,79,41,67.5,66.875
110023,College_1,1,8,99,68,93,93,84,79,86.0,66.875
110024,College_1,1,1,78,66,82,85,56,60,71.16666666666667,67.72916666666667
110024,College_1,1,2,76,70,50,78,46,90,68.33333333333333,67.72916666666667
110024,College_1,1,3,79,46,81,85,54,82,71.16666666666667,67.72916666666667
110024,College_1,1,4,64,99,82,100,73,62,80.0,67.72916666666667
110024,College_1,1,5,61,85,76,95,42,41,66.66666666666667,67.72916666666667
110024,College_1,1,6,79,46,43,51,49,48,52.666666666666664,67.72916666666667
110024,College_1,1,7,69,46,65,46,93,85,67.33333333333333,67.72916666666667
110024,College_1,1,8,97,100,48,48,42,52,64.5,67.72916666666667
110025,College_1,1,1,54,43,53,58,93,77,63.0,69.33333333333333
110025,College_1,1,2,95,94,44,53,48,87,70.16666666666667,69.33333333333333
110025,College_1,1,3,45,97,97,52,88,52,71.83333333333333,69.33333333333333
110025,College_1,1,4,63,63,74,91,89,73,75.5,69.33333333333333
110025,College_1,1,5,63,53,75,77,74,96,73.0,69.33333333333333
110025,College_1,1,6,61,95,66,73,61,96,75.33333333333333,69.33333333333333
110025,College_1,1,7,87,50,63,56,47,94,66.16666666666667,69.33333333333333
110025,College_1,1,8,74,61,59,44,48,72,59.666666666666664,69.33333333333333
110026,College_1,1,1,40,93,74,46,89,54,66.0,67.6875
110026,College_1,1,2,54,74,40,41,59,96,60.666666666666664,67.6875
110026,College_1,1,3,81,99,82,45,63,83,75.5,67.6875
110026,College_1,1,4,72,58,90,40,61,67,64.66666666666667,67.6875
110026,College_1,1,5,100,99,63,88,70,40,76.66666666666667,67.6875
110026,College_1,1,6,79,79,85,78,57,65,73.83333333333333,67.6875
110026,College_1,1,7,45,42,50,91,83,61,62.0,67.6875
110026,College_1,1,8,58,67,64,89,44,51,62.166666666666664,67.6875
110027,College_1,1,1,45,96,76,68,54,79,69.66666666666667,67.97916666666667
110027,College_1,1,2,97,43,100,56,88,57,73.5,67.97916666666667
110027,College_1,1,3,65,71,100,54,42,44,62.666666666666664,67.97916666666667
110027,College_1,1,4,74,96,49,74,46,65,67.33333333333333,67.97916666666667
110027,College_1,1,5,58,43,90,45,98,53,64.5,67.97916666666667
110027,College_1,1,6,56,90,61,41,69,99,69.33333333333333,67.97916666666667
110027,College_1,1,7,52,43,53,94,43,79,60.666666666666664,67.97916666666667
110027,College_1,1,8,52,96,91,84,88,46,76.16666666666667,67.97916666666667
110028,College_1,1,1,64,98,43,88,99,60,75.33333333333333,70.27083333333333
110028,College_1,1,2,47,70,78,66,84,94,73.16666666666667,70.27083333333333
110028,College_1,1,3,62,41,72,64,58,94,65.16666666666667,70.27083333333333
110028,College_1,1,4,90,70,43,92,83,47,70.83333333333333,70.27083333333333
110028,College_1,1,5,84,97,89,77,81,83,85.16666666666667,70.27083333333333
110028,College_1,1,6,90,89,71,72,69,47,73.0,70.27083333333333
110028,College_1,1,7,44,50,62,56,73,69,59.0,70.27083333333333
110028,College_1,1,8,49,85,40,50,98,41,60.5,70.27083333333333
110029,College_1,1,1,91,45,63,90,97,59,74.16666666666667,71.20833333333333
110029,College_1,1,2,69,70,78,93,59,53,70.33333333333333,71.20833333333333
110029,College_1,1,3,81,62,61,97,88,79,78.0,71.20833333333333
110029,College_1,1,4,87,47,78,60,93,64,71.5,71.20833333333333
110029,College_1,1,5,74,78,43,60,58,59,62.0,71.20833333333333
110029,College_1,1,6,61,61,40,89,84,69,67.33333333333333,71.20833333333333
110029,College_1,1,7,88,83,59,92,88,69,79.83333333333333,71.20833333333333
110029,College_1,1,8,77,86,78,44,48,66,66.5,71.20833333333333
110030,College_1,1,1,87,93,80,65,47,99,78.5,70.9375
110030,College_1,1,2,95,80,57,63,44,46,64.16666666666667,70.9375
110030,College_1,1,3,41,85,73,40,80,61,63.333333333333336,70.9375
110030,College_1,1,4,55,67,82,51,99,86,73.33333333333333,70.9375
110030,College_1,1,5,90,88,84,63,61,50,72.66666666666667,70.9375
110030,College_1,1,6,73,75,40,77,79,97,73.5,70.9375
110030,College_1,1,7,49,42,93,52,65,94,65.83333333333333,70.9375
110030,College_1,1,8,69,47,76,91,77,97,76.16666666666667,70.9375
110031,College_1,1,1,70,95,84,69,44,83,74.16666666666667,64.29166666666667
110031,College_1,1,2,48,82,53,77,52,51,60.5,64.29166666666667
110031,College_1,1,3,59,77,63,57,40,58,59.0,64.29166666666667
110031,College_1,1,4,82,67,86,56,75,70,72.66666666666667,64.29166666666667
110031,College_1,1,5,49,40,55,79,43,89,59.166666666666664,64.29166666666667
110031,College_1,1,6,58,64,81,41,88,72,67.33333333333333,64.29166666666667
110031,College_1,1,7,59,54,77,94,45,88,69.5,64.29166666666667
110031,College_1,1,8,55,42,45,49,65,56,52.0,64.29166666666667
110032,College_1,1,1,88,97,55,76,53,85,75.66666666666667,73.125
110032,College_1,1,2,42,95,45,56,49,62,58.166666666666664,73.125
110032,College_1,1,3,83,71,52,87,83,73,74.83333333333333,73.125
110032,College_1,1,4,54,77,83,77,99,91,80.16666666666667,73.125
110032,College_1,1,5,48,48,91,96,46,86,69.16666666666667,73.125
110032,College_1,1,6,48,67,84,99,85,90,78.83333333333333,73.125
110032,College_1,1,7,90,68,41,92,91,66,74.66666666666667,73.125
110032,College_1,1,8,55,77,85,93,63,68,73.5,73.125
110033,College_1,1,1,69,64,75,86,68,53,69.16666666666667,68.29166666666667
110033,College_1,1,2,65,64,94,41,90,59,68.83333333333333,68.29166666666667
110033,College_1,1,3,56,96,86,43,64,66,68.5,68.29166666666667
110033,College_1,1,4,67,80,80,52,66,51,66.0,68.29166666666667
110033,College_1,1,5,68,46,99,74,47,56,65.0,68.29166666666667
110033,College_1,1,6,50,82,93,44,67,51,64.5,68.29166666666667
110033,College_1,1,7,59,84,69,74,87,60,72.16666666666667,68.29166666666667
110033,College_1,1,8,80,70,84,60,62,77,72.16666666666667,68.29166666666667
110034,College_1,1,1,69,93,100,54,84,88,81.33333333333333,67.70833333333333
110034,College_1,1,2,42,77,48,77,62,77,63.833333333333336,67.70833333333333
110034,College_1,1,3,52,71,91,73,46,72,67.5,67.70833333333333
110034,College_1,1,4,85,93,83,84,41,49,72.5,67.70833333333333
110034,College_1,1,5,93,75,41,77,72,53,68.5,67.70833333333333
110034,College_1,1,6,47,74,43,72,64,43,57.166666666666664,67.70833333333333
110034,College_1,1,7,54,97,53,100,67,53,70.66666666666667,67.70833333333333
110034,College_1,1,8,92,47,47,43,78,54,60.166666666666664,67.70833333333333
110035,College_1,1,1,71,43,59,64,63,95,65.83333333333333,70.125
110035,College_1,1,2,61,97,54,68,100,71,75.16666666666667,70.125
110035,College_1,1,3,84,73,47,92,81,86,77.16666666666667,70.125
110035,College_1,1,4,51,82,98,87,78,63,76.5,70.125
110035,College_1,1,5,69,64,47,75,72,42,61.5,70.125
110035,College_1,1,6,84,43,99,91,44,52,68.83333333333333,70.125
110035,College_1,1,7,77,73,54,56,44,64,61.333333333333336,70.125
110035,College_1,1,8,98,40,61,100,71,78,74.66666666666667,70.125
110036,College_1,1,1,50,98,67,72,44,52,63.833333333333336,65.52083333333333
110036,College_1,1,2,66,46,45,58,66,62,57.166666666666664,65.52083333333333
110036,College_1,1,3,43,73,82,80,65,58,66.83333333333333,65.52083333333333
110036,College_1,1,4,48,69,45,58,55,87,60.333333333333336,65.52083333333333
110036,College_1,1,5,46,47,61,95,75,43,61.166666666666664,65.52083333333333
110036,College_1,1,6,76,45,78,98,91,97,80.83333333333333,65.52083333333333
110036,College_1,1,7,46,68,83,56,40,65,59.666666666666664,65.52083333333333
110036,College_1,1,8,43,96,87,76,80,64,74.33333333333333,65.52083333333333
110037,College_1,1,1,60,60,64,49,82,56,61.833333333333336,67.83333333333333
110037,College_1,1,2,62,92,49,49,92,80,70.66666666666667,67.83333333333333
110037,College_1,1,3,58,55,60,76,61,78,64.66666666666667,67.83333333333333
110037,College_1,1,4,55,72,61,80,61,54,63.833333333333336,67.83333333333333
110037,College_1,1,5,92,46,95,99,61,61,75.66666666666667,67.83333333333333
110037,College_1,1,6,46,69,76,98,87,59,72.5,67.83333333333333
110037,College_1,1,7,57,50,86,93,43,85,69.0,67.83333333333333
110037,College_1,1,8,76,70,54,51,58,78,64.5,67.83333333333333
110038,College_1,1,1,75,100,71,81,56,83,77.66666666666667,74.3125
110038,College_1,1,2,97,87,97,73,89,80,87.16666666666667,74.3125
110038,College_1,1,3,82,88,68,91,69,74,78.66666666666667,74.3125
110038,College_1,1,4,98,64,82,60,88,65,76.16666666666667,74.3125
110038,College_1,1,5,46,75,99,72,64,96,75.33333333333333,74.3125
110038,College_1,1,6,55,82,50,63,57,78,64.16666666666667,74.3125
110038,College_1,1,7,81,77,90,75,52,45,70.0,74.3125
110038,College_1,1,8,82,60,53,59,51,87,65.33333333333333,74.3125
110039,College_1,1,1,64,58,51,75,66,96,68.33333333333333,66.33333333333333
110039,College_1,1,2,89,72,76,51,66,60,69.0,66.33333333333333
110039,College_1,1,3,93,49,50,69,89,82,72.0,66.33333333333333
110039,College_1,1,4,59,46,61,71,75,56,61.333333333333336,66.33333333333333
110039,College_1,1,5,89,86,93,91,43,89,81.83333333333333,66.33333333333333
110039,College_1,1,6,41,58,43,79,42,81,57.333333333333336,66.33333333333333
110039,College_1,1,7,51,44,64,98,44,53,59.0,66.33333333333333
110039,College_1,1,8,68,80,59,53,64,47,61.833333333333336,66.33333333333333
110040,College_1,1,1,68,58,47,69,55,80,62.833333333333336,68.47916666666667
110040,College_1,1,2,90,42,79,85,48,87,71.83333333333333,68.47916666666667
110040,College_1,1,3,66,84,54,50,63,62,63.166666666666664,68.47916666666667
110040,College_1,1,4,76,78,91,49,81,71,74.33333333333333,68.47916666666667
110040,College_1,1,5,53,53,74,75,58,70,63.833333333333336,68.47916666666667
110040,College_1,1,6,40,70,62,97,54,95,69.66666666666667,68.47916666666667
110040,College_1,1,7,96,49,52,44,80,87,68.0,68.47916666666667
110040,College_1,1,8,71,98,95,71,48,62,74.16666666666667,68.47916666666667
110041,College_1,1,1,49,62,48,43,56,47,50.833333333333336,69.4375
110041,College_1,1,2,87,99,82,67,84,74,82.16666666666667,69.4375
110041,College_1,1,3,64,90,84,64,55,78,72.5,69.4375
110041,College_1,1,4,48,52,96,48,66,83,65.5,69.4375
110041,College_1,1,5,47,95,55,92,86,88,77.16666666666667,69.4375
110041,College_1,1,6,68,63,81,96,92,60,76.66666666666667,69.4375
110041,College_1,1,7,72,57,59,56,75,95,69.0,69.4375
110041,College_1,1,8,51,47,92,67,48,65,61.666666666666664,69.4375
110042,College_1,1,1,69,70,65,49,98,47,66.33333333333333,67.47916666666667
110042,College_1,1,2,77,79,96,93,100,62,84.5,67.47916666666667
110042,College_1,1,3,54,93,55,49,87,87,70.83333333333333,67.47916666666667
110042,College_1,1,4,45,94,45,51,71,59,60.833333333333336,67.47916666666667
110042,College_1,1,5,92,43,50,42,77,46,58.333333333333336,67.47916666666667
110042,College_1,1,6,55,74,93,44,72,41,63.166666666666664,67.47916666666667
110042,College_1,1,7,78,40,99,78,49,46,65.0,67.47916666666667
110042,College_1,1,8,46,82,72,81,67,77,70.83333333333333,67.47916666666667
110043,College_1,1,1,62,41,93,65,98,94,75.5,71.5
110043,College_1,1,2,62,94,60,100,84,97,82.83333333333333,71.5
110043,College_1,1,3,96,55,72,95,88,84,81.66666666666667,71.5
110043,College_1,1,4,55,68,56,50,68,54,58.5,71.5
110043,College_1,1,5,87,74,88,89,66,85,81.5,71.5
110043,College_1,1,6,49,87,55,42,83,43,59.833333333333336,71.5
110043,College_1,1,7,51,62,58,56,41,100,61.333333333333336,71.5
110043,College_1,1,8,67,56,56,71,76,99,70.83333333333333,71.5
110044,College_1,1,1,81,59,59,61,92,59,68.5,67.64583333333333
110044,College_1,1,2,89,64,87,51,56,70,69.5,67.64583333333333
110044,College_1,1,3,78,70,50,80,90,61,71.5,67.64583333333333
110044,College_1,1,4,96,75,91,53,96,74,80.83333333333333,67.64583333333333
110044,College_1,1,5,50,70,44,58,56,63,56.833333333333336,67.64583333333333
110044,College_1,1,6,44,94,82,74,50,92,72.66666666666667,67.64583333333333
110044,College_1,1,7,65,72,63,40,45,81,61.0,67.64583333333333
110044,College_1,1,8,57,68,40,69,47,81,60.333333333333336,67.64583333333333
110045,College_1,1,1,45,86,52,67,67,51,61.333333333333336,70.0625
110045,College_1,1,2,87,86,98,93,80,81,87.5,70.0625
110045,College_1,1,3,96,88,74,73,75,68,79.0,70.0625
110045,College_1,1,4,61,40,51,45,94,89,63.333333333333336,70.0625
110045,College_1,1,5,71,65,93,64,69,95,76.16666666666667,70.0625
110045,College_1,1,6,44,65,46,66,64,42,54.5,70.0625
110045,College_1,1,7,51,67,57,91,90,66,70.33333333333333,70.0625
110045,College_1,1,8,75,96,49,70,53,67,68.33333333333333,70.0625
110046,College_1,1,1,93,53,70,100,62,57,72.5,71.02083333333333
110046,College_1,1,2,43,50,51,89,73,50,59.333333333333336,71.02083333333333
110046,College_1,1,3,65,80,54,50,64,89,67.0,71.02083333333333
110046,College_1,1,4,97,69,75,58,80,65,74.0,71.02083333333333
110046,College_1,1,5,88,62,43,94,70,91,74.66666666666667,71.02083333333333
110046,College_1,1,6,68,61,84,86,95,63,76.16666666666667,71.02083333333333
110046,College_1,1,7,85,46,84,91,49,88,73.83333333333333,71.02083333333333
110046,College_1,1,8,47,84,68,68,59,98,70.66666666666667,71.02083333333333
110047,College_1,1,1,66,75,74,44,53,93,67.5,68.0625
110047,College_1,1,2,57,99,52,46,56,72,63.666666666666664,68.0625
110047,College_1,1,3,97,40,85,46,45,83,66.0,68.0625
110047,College_1,1,4,85,97,62,98,42,70,75.66666666666667,68.0625
110047,College_1,1,5,55,56,68,55,50,85,61.5,68.0625
110047,College_1,1,6,46,98,69,47,87,52,66.5,68.0625
110047,College_1,1,7,54,62,91,89,100,98,82.33333333333333,68.0625
110047,College_1,1,8,43,72,77,42,47,87,61.333333333333336,68.0625
110048,College_1,1,1,93,68,57,93,91,58,76.66666666666667,71.95833333333333
110048,College_1,1,2,59,52,79,63,69,66,64.66666666666667,71.95833333333333
110048,College_1,1,3,86,79,62,82,93,67,78.16666666666667,71.95833333333333
110048,College_1,1,4,44,86,69,95,52,99,74.16666666666667,71.95833333333333
